,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mar del Plata,AR,-46.43,-67.52,1557087874,286.8,43,0,2.89
67,Fairbanks,US,64.84,-147.72,1557087615,280.93,41,1,2.1
68,Cheremukhovo,RU,56.23,46.23,1557087874,286.4,80,3,1.95
69,Berlevag,NO,70.86,29.09,1557085800,271.15,92,90,1.5
70,Castro,CL,-42.48,-73.76,1557082800,284.15,87,90,2.1
71,Georgetown,GY,6.8,-58.16,1557082800,302.15,83,75,7.2
72,Matamoros,US,25.87,-97.51,1557087857,306.15,58,20,6.7
73,Souillac,FR,45.6,-0.6,1557087849,283.71,57,0,1.5
74,Hilo,US,19.71,-155.08,1557087802,297.59,69,75,2.1
75,Gwadar,PK,25.12,62.33,1557087876,302.6,63,0,6.94
76,Nanortalik,GL,60.14,-45.24,1557087876,277.9,68,34,2.83
77,Kalabo,ZM,-15.0,22.67,1557087876,294.2,48,19,3.07
78,Necochea,AR,-38.55,-58.74,1557087491,294.26,75,37,1.34
79,Bredasdorp,ZA,-34.53,20.04,1557087305,290.93,82,34,3.1
80,Atar,MR,20.52,-13.05,1557087877,306.2,11,21,3.84
81,Neiafu,TO,-18.65,-173.98,1557086400,300.15,83,40,2.6
82,Manta,RO,45.1,24.1,1557087881,284.3,89,52,2.45
83,Karaton,ID,-6.34,106.1,1557087561,301.48,83,75,4.6
84,Cairns,AU,-16.92,145.77,1557087619,295.15,78,75,3.1
85,Vaini,IN,15.34,74.49,1557087882,297.5,84,0,1.21
86,Avarua,CK,-21.21,-159.78,1557086400,300.15,78,100,7.2
87,Beringovskiy,RU,63.05,179.32,1557087882,270.0,82,73,3.41
88,Abilene,US,32.45,-99.73,1557087617,299.82,65,75,7.7
89,Aguimes,ES,27.91,-15.45,1557087768,292.15,59,20,8.7
90,Florianopolis,BR,-27.6,-48.55,1557087785,301.48,65,0,5.1
91,Luderitz,NA,-26.65,15.16,1557082800,288.15,87,5,1.0
92,Itoman,JP,26.12,127.67,1557084600,295.15,68,20,1.5
93,Ormara,PK,25.21,64.64,1557087883,302.0,45,0,3.5
94,Valparaiso,US,41.47,-87.06,1557087566,296.48,35,1,2.1
95,Cap Malheureux,MU,-19.98,57.61,1557087838,299.15,78,40,5.1
96,Ponta do Sol,BR,-20.63,-46.0,1557087884,293.3,92,100,1.75
97,Tuatapere,NZ,-46.13,167.69,1557087006,283.15,98,100,6.44
98,Outjo,NA,-20.11,16.16,1557082800,296.15,23,0,2.1
99,Serpa,PT,37.94,-7.6,1557086400,289.15,72,0,4.6
100,Flinders,AU,-34.58,150.85,1557087315,287.59,81,40,4.1
101,Arraial do Cabo,BR,-22.97,-42.02,1557086400,301.15,78,0,5.1
102,Hovd,NO,63.83,10.7,1557087665,277.15,93,40,4.6
103,Yellowknife,CA,62.45,-114.38,1557087538,275.93,43,75,2.6
104,Leshukonskoye,RU,64.9,45.76,1557087886,274.4,94,72,1.88
105,Puerto Ayora,EC,-0.74,-90.35,1557087390,303.15,66,20,6.7
106,Airai,TL,-8.93,125.41,1557087886,296.7,76,59,2.77
107,Autazes,BR,-3.58,-59.13,1557087886,300.6,93,98,1.14
108,Uige,AO,-7.61,15.06,1557087886,295.1,87,94,0.29
109,Nelson Bay,AU,-32.72,152.14,1557087369,287.04,93,75,4.6
110,Margate,AU,-43.03,147.26,1557087856,284.15,57,75,4.6
111,Kayerkan,RU,69.35,87.76,1557082800,272.15,100,75,15.0
112,Winnemucca,US,40.97,-117.74,1557087308,297.15,17,1,2.1
113,Coquimbo,CL,-29.95,-71.34,1557087420,295.37,72,20,5.1
114,Kabalo,CD,-6.05,26.92,1557087887,297.9,68,86,2.38
115,Henties Bay,NA,-22.12,14.28,1557086526,286.48,95,0,0.89
116,Bada,NG,12.41,4.51,1557087888,311.0,22,65,3.47
117,Stepnoye,RU,51.38,46.84,1557087855,288.71,82,75,1.0
118,Tasiilaq,GL,65.61,-37.64,1557085800,278.15,65,69,6.7
119,Port Elizabeth,US,39.31,-74.98,1557087870,287.15,100,90,3.1
120,Narsaq,GL,60.91,-46.05,1557085800,287.15,24,20,11.3
121,Ribeira Grande,PT,38.52,-28.7,1557086400,289.15,77,40,7.7
122,Isla Vista,US,34.41,-119.86,1557087880,292.04,67,90,3.6
123,Constitucion,MX,23.99,-104.67,1557087616,300.15,6,40,4.6
124,Mandalgovi,MN,45.76,106.27,1557087889,277.5,25,9,2.14
125,Ancud,CL,-41.87,-73.83,1557082800,284.15,87,90,2.1
126,Vestmannaeyjar,IS,63.44,-20.27,1557087890,280.6,81,4,6.32
127,Hithadhoo,MV,-0.6,73.08,1557087890,301.8,72,0,1.92
128,Te Anau,NZ,-45.41,167.72,1557087891,281.3,93,93,0.3
129,Mahebourg,MU,-20.41,57.7,1557087838,299.15,78,40,5.1
130,Tsaratanana,MG,-16.8,47.65,1557087891,293.2,79,0,5.43
131,Arlit,NE,18.74,7.39,1557087892,307.6,9,0,3.53
132,Saint George,GR,39.45,22.34,1557085800,288.15,87,20,2.31
133,Adrar,DZ,27.87,-0.29,1557086400,302.15,14,0,3.1
134,Bambous Virieux,MU,-20.34,57.76,1557087838,299.15,78,40,5.1
135,Khatanga,RU,71.98,102.47,1557087893,264.4,93,100,6.51
136,Bluff,AU,-23.58,149.07,1557087893,285.6,58,0,4.27
137,Cabo San Lucas,MX,22.89,-109.91,1557087630,307.04,35,75,4.88
138,Laurel,US,45.67,-108.77,1557087604,277.59,80,90,5.7
139,Kiunga,PG,-6.12,141.3,1557087893,295.2,97,100,0.3
140,Taltal,CL,-25.41,-70.49,1557087893,294.6,52,0,2.98
141,Dikson,RU,73.51,80.55,1557087894,264.3,89,100,9.49
142,Borovichi,RU,58.39,33.91,1557087895,280.1,93,100,1.74
143,Tura,IN,25.52,90.21,1557087895,298.3,79,0,4.66
144,Taseyevo,RU,57.22,94.9,1557087895,282.7,62,87,2.76
145,San Jose,PH,15.79,120.99,1557087629,299.5,77,57,1.34
146,Lorengau,PG,-2.02,147.27,1557087897,300.2,84,93,4.0
147,Vanimo,PG,-2.67,141.3,1557087897,300.7,79,100,5.19
148,Purwa,IN,26.46,80.77,1557084600,301.15,28,0,3.1
149,Urengoy,RU,65.96,78.37,1557087898,272.0,84,0,7.42
150,Walvis Bay,NA,-22.95,14.51,1557086526,286.48,87,0,1.5
151,Hargeysa,SO,9.56,44.06,1557087899,296.6,65,56,2.53
152,Port-Gentil,GA,-0.72,8.78,1557086400,300.15,94,20,2.6
153,Dongsheng,CN,29.72,112.52,1557087899,292.2,84,98,3.3
154,Ipixuna,BR,-1.76,-48.8,1557086400,303.15,66,75,2.6
155,Banda Aceh,ID,5.56,95.32,1557087900,301.7,75,100,5.97
156,Cockburn Town,TC,21.46,-71.14,1557087900,299.5,80,93,8.56
157,Noyabrsk,RU,63.2,75.45,1557087901,275.2,85,20,2.65
158,Skjervoy,NO,70.03,20.97,1557085800,273.15,71,40,2.1
159,Tilichiki,RU,60.47,166.1,1557087902,275.3,53,68,4.27
160,Port Hardy,CA,50.7,-127.42,1557086400,287.15,58,40,7.7
161,Tinskoy,RU,56.15,96.92,1557087902,281.1,50,46,2.65
162,Jinchang,CN,38.52,102.19,1557087903,279.7,91,100,5.5
163,Birjand,IR,32.86,59.22,1557086400,289.15,36,0,2.1
164,Honningsvag,NO,70.98,25.97,1557085800,272.15,86,75,4.1
165,Eureka,US,40.8,-124.16,1557087821,290.93,87,90,4.6
166,Candido Mendes,BR,-1.45,-45.72,1557087904,298.7,96,100,1.08
167,Yarmouth,GB,50.71,-1.5,1557087903,283.15,61,0,4.1
168,Hofn,IS,64.25,-15.21,1557087904,270.2,93,100,2.6
169,Falam,MM,22.91,93.68,1557087905,289.2,99,59,0.94
170,Bethel,US,60.79,-161.76,1557086160,282.15,42,1,7.2
171,High Rock,BS,26.63,-78.28,1557086400,302.15,74,75,6.2
172,Collie,AU,-33.36,116.15,1557087879,287.04,94,7,2.46
173,Nome,US,30.04,-94.42,1557087771,303.15,45,75,1.5
174,Chokurdakh,RU,70.62,147.9,1557087908,269.0,91,23,5.58
175,Upernavik,GL,72.79,-56.15,1557087908,274.6,80,24,4.08
176,Selenginsk,RU,52.01,106.87,1557084600,274.15,43,0,3.13
177,East London,ZA,-33.02,27.91,1557087908,290.1,89,100,1.48
178,Kavieng,PG,-2.57,150.8,1557087908,301.5,80,100,5.19
179,Tazovskiy,RU,67.47,78.7,1557087909,271.9,82,60,11.05
180,Reo,BF,12.32,-2.47,1557087909,310.7,22,12,0.43
181,Jining,CN,35.41,116.58,1557087910,285.3,22,100,3.25
182,Catia La Mar,VE,10.6,-67.03,1557087622,301.48,83,75,3.1
183,Kuching,MY,1.56,110.34,1557084600,298.15,100,75,0.5
184,Ekuvukeni,ZA,-28.47,30.16,1557087911,289.9,35,0,1.95
185,Alta Floresta,BR,-9.87,-56.08,1557082800,306.15,55,40,2.6
186,Buchanan,LR,5.88,-10.05,1557082800,301.15,83,40,4.75
187,Thompson,CA,55.74,-97.86,1557086400,276.15,40,40,5.7
188,Vila Velha,BR,-3.71,-38.6,1557087489,303.15,70,20,5.7
189,Kurumkan,RU,54.33,110.32,1557087912,270.0,64,83,2.0
190,Progreso,UY,-34.68,-56.22,1557087621,293.15,100,90,3.6
191,Geraldton,CA,49.72,-86.95,1557086400,282.15,34,20,6.2
192,Prince Rupert,CA,54.32,-130.32,1557086820,281.15,87,90,2.1
193,Kutum,SD,14.2,24.66,1557087914,301.2,10,44,2.04
194,Cernesti,RO,47.52,23.75,1557086400,286.15,93,40,1.33
195,Tuktoyaktuk,CA,69.44,-133.03,1557086400,264.15,78,20,4.6
196,Doha,QA,25.29,51.53,1557086400,303.15,54,0,2.6
197,Son La,VN,21.32,103.9,1557087763,295.5,65,100,0.95
198,San Quintin,PH,17.54,120.52,1557087915,298.5,74,87,1.6
199,Cayenne,GF,4.94,-52.33,1557084600,301.15,78,99,6.7
200,Lavrentiya,RU,65.58,-170.99,1557087915,271.2,98,100,1.31
201,Boissevain,CA,49.23,-100.06,1557087300,280.15,36,40,5.7
202,Karratha,AU,-20.74,116.85,1557087915,298.6,18,0,4.54
203,Taoudenni,ML,22.68,-3.98,1557087916,305.1,6,0,3.52
204,Chuy,UY,-33.69,-53.46,1557087916,295.2,93,100,4.38
205,Trabzon,TR,41.01,39.72,1557085800,290.37,82,75,1.0
206,Kuragino,RU,53.89,92.68,1557087916,281.2,30,0,1.07
207,Kodiak,US,39.95,-94.76,1557087870,298.71,10,1,7.2
208,Victoria,BN,5.28,115.24,1557084600,300.15,94,75,4.41
209,Ketchikan,US,55.34,-131.65,1557086160,286.15,54,40,6.2
210,Presque Isle,US,46.68,-68.02,1557087804,293.71,25,1,3.6
211,Mana,RS,43.52,20.24,1557086400,283.15,93,75,3.6
212,Fortuna,ES,38.18,-1.13,1557087917,290.37,67,0,1.0
213,Ostrovnoy,RU,68.05,39.51,1557087919,270.8,80,100,3.17
214,Zhigansk,RU,66.77,123.37,1557087919,263.4,90,0,2.7
215,Codrington,AU,-28.95,153.24,1557087842,286.48,93,0,4.1
216,Sisophon,KH,13.59,102.97,1557087784,300.0,83,100,2.01
217,Pueblo Nuevo,MX,23.99,-106.96,1557087316,303.15,41,0,3.13
218,Luanda,AO,-8.83,13.24,1557086400,300.15,78,75,3.6
219,Carutapera,BR,-1.2,-46.02,1557087921,299.3,87,100,2.25
220,Sioux Lookout,CA,50.1,-91.92,1557086400,278.15,52,75,6.2
221,Camacha,PT,33.08,-16.33,1557086400,291.15,59,20,2.6
222,Moron,VE,10.49,-68.2,1557087922,302.5,65,100,4.01
223,Vuktyl,RU,63.86,57.31,1557087922,276.4,68,100,3.69
224,Batemans Bay,AU,-35.71,150.18,1557087697,287.59,60,1,1.79
225,Dicabisagan,PH,17.08,122.42,1557087923,296.7,91,65,0.85
226,Vagay,RU,57.94,69.02,1557087667,287.0,62,100,2.04
227,San Carlos,VE,9.66,-68.59,1557087918,305.0,47,100,2.18
228,San Borja,BO,-14.86,-66.75,1557087924,302.8,69,3,1.45
229,Morant Bay,JM,17.88,-76.41,1557086400,303.15,51,20,10.3
230,Damietta,EG,31.42,31.81,1557082800,294.15,77,0,4.1
231,Buin,CL,-33.73,-70.74,1557087889,294.26,49,75,1.0
232,Ondangwa,NA,-17.91,15.98,1557086400,299.15,26,0,1.5
233,Goderich,CA,43.74,-81.71,1557087904,293.15,99,0,3.79
234,Quimper,FR,48.0,-4.1,1557087785,283.15,57,90,2.6
235,Tynda,RU,55.15,124.74,1557087925,272.2,88,82,1.92
236,Hare Bay,CA,48.86,-53.99,1557087764,280.37,81,75,5.1
237,Hasaki,JP,35.73,140.83,1557087828,289.15,93,75,1.5
238,Namatanai,PG,-3.66,152.44,1557087925,298.2,89,100,3.14
239,Husavik,CA,50.56,-96.99,1557087676,277.59,61,93,2.68
240,San Patricio,PY,-26.98,-56.83,1557087926,299.1,86,100,2.21
241,Kabare,RW,-1.65,29.38,1557087926,287.0,97,79,1.74
242,Bogorodskoye,RU,52.37,140.44,1557087926,273.6,93,100,1.02
243,Igarka,RU,67.47,86.57,1557087926,273.3,86,97,9.51
244,Seoul,KR,37.57,126.98,1557087600,284.15,53,1,1.5
245,The Valley,AI,18.22,-63.06,1557087380,301.15,74,40,9.3
246,Ferrol,ES,43.48,-8.23,1557087672,289.82,63,0,1.5
247,Sao Filipe,CV,14.9,-24.5,1557087927,295.2,83,0,9.85
248,Waipawa,NZ,-39.94,176.59,1557087927,286.2,86,86,0.59
249,Jalu,LY,29.03,21.55,1557087927,297.1,40,100,8.76
250,Montecristo,CO,8.3,-74.47,1557087928,307.7,51,100,0.55
251,Garowe,SO,8.41,48.48,1557087928,301.3,69,0,6.66
252,Gornyy,RU,51.76,48.54,1557087928,286.6,91,100,5.28
253,Kautokeino,NO,69.01,23.04,1557087929,266.8,86,11,3.27
254,Laguna,MX,27.52,-110.01,1557085440,305.15,17,20,3.1
255,Mitsamiouli,KM,-11.38,43.28,1557082800,301.15,74,20,2.1
256,Bulgan,MN,48.81,103.53,1557087930,275.4,39,100,0.83
257,Khasan,RU,42.43,130.64,1557087930,278.1,50,0,4.9
258,La Palma,CO,5.36,-74.39,1557087931,297.0,88,100,1.45
259,Los Llanos de Aridane,ES,28.66,-17.92,1557087926,292.15,59,20,5.1
260,West Wendover,US,40.74,-114.07,1557086160,296.15,23,1,4.1
261,Najran,SA,17.54,44.22,1557086400,301.15,23,5,7.26
262,Shingu,JP,33.72,135.99,1557087932,282.7,98,92,1.5
263,Baykit,RU,61.68,96.39,1557087932,276.5,92,94,4.26
264,Yangjiang,CN,21.85,111.96,1557087338,295.37,77,54,1.86
265,Laizhou,CN,37.18,119.93,1557087933,285.8,58,53,4.46
266,Ballinrobe,IE,53.62,-9.22,1557087730,282.15,57,75,4.1
267,Kununurra,AU,-15.77,128.74,1557084600,291.15,52,16,1.5
268,Severo-Yeniseyskiy,RU,60.37,93.04,1557087934,278.3,96,98,3.61
269,Saskylakh,RU,71.97,114.09,1557087934,262.2,94,99,3.35
270,Markova,RU,52.21,104.21,1557087618,275.37,43,0,2.0
271,Torbay,CA,47.66,-52.73,1557087496,281.48,65,75,6.2
272,Comodoro Rivadavia,AR,-45.87,-67.48,1557086400,291.15,48,0,3.6
273,Requena,ES,39.49,-1.1,1557087786,287.04,82,0,1.0
274,Fairview,US,40.81,-74.0,1557087932,285.93,93,90,5.1
275,Ialibu,PG,-6.28,143.99,1557087936,291.5,99,100,1.02
276,Vila do Maio,CV,15.13,-23.22,1557086400,296.15,69,20,7.7
277,Eyl,SO,7.98,49.82,1557087937,300.8,74,12,4.87
278,Westlock,CA,54.15,-113.85,1557087907,282.59,33,40,3.6
279,Klaksvik,FO,62.23,-6.59,1557087600,277.15,60,25,7.7
280,Belmonte,PT,40.36,-7.35,1557087305,288.15,73,61,0.89
281,Kirakira,SB,-10.46,161.92,1557087938,300.4,79,100,1.08
282,Iqaluit,CA,63.75,-68.52,1557087762,272.15,86,75,3.1
283,Corner Brook,CA,48.95,-57.95,1557087469,284.15,53,75,3.6
284,Xichang,CN,27.88,102.25,1557087938,285.4,90,99,1.22
285,Port Lincoln,AU,-34.72,135.86,1557087939,289.6,70,0,5.58
286,Puerto Carreno,CO,6.19,-67.49,1557082800,308.15,50,40,2.6
287,Cheney,US,47.49,-117.58,1557087937,295.37,30,1,1.5
288,Isangel,VU,-19.55,169.27,1557086400,298.15,78,75,5.1
289,Sisimiut,GL,66.94,-53.67,1557087940,278.8,63,10,4.39
290,Bukachacha,RU,52.99,116.91,1557087940,272.3,56,3,1.96
291,Muscat,OM,23.6,58.55,1557085800,305.15,21,0,0.5
292,Bilibino,RU,68.06,166.44,1557087941,266.4,91,80,1.32
293,Lazaro Cardenas,MX,28.39,-105.62,1557087651,302.59,26,40,2.58
294,Buraydah,SA,26.33,43.97,1557086400,302.15,42,20,5.1
295,Severo-Kurilsk,RU,50.68,156.12,1557087942,275.1,86,0,0.58
296,Pagudpud,PH,18.56,120.79,1557087942,300.9,73,80,3.47
297,Kadoma,ZW,-18.34,29.91,1557087942,292.5,40,0,3.13
298,Tevaitoa,PF,-16.78,-151.5,1557087942,300.8,76,63,6.68
299,Dehloran,IR,32.69,47.27,1557087943,293.2,18,98,1.07
300,Nador,MA,35.17,-2.93,1557086400,293.15,72,0,2.1
301,Marau,BR,-28.45,-52.2,1557082800,300.15,65,75,4.1
302,Korsakov,RU,46.63,142.78,1557084600,273.15,58,94,1.0
303,Petrov Val,RU,50.14,45.21,1557087944,286.3,87,100,1.27
304,Muroto,JP,33.37,134.14,1557087944,286.9,85,28,1.98
305,Drumnadrochit,GB,57.34,-4.48,1557087905,280.15,75,75,4.1
306,Campos Sales,BR,-7.07,-40.37,1557087944,295.6,78,30,1.81
307,Coutances,FR,49.05,-1.45,1557087328,282.15,75,0,1.5
308,Tabou,CI,4.42,-7.36,1557087945,299.1,87,100,1.32
309,Hambantota,LK,6.12,81.12,1557087945,301.4,81,15,6.35
310,Fort Nelson,CA,58.81,-122.69,1557086400,278.15,48,90,1.0
311,Tonosho,JP,34.48,134.18,1557087874,290.93,77,75,1.0
312,Iztapa,GT,13.93,-90.71,1557086400,308.15,50,5,7.2
313,Bayanday,RU,53.07,105.52,1557087946,276.7,39,8,1.82
314,Mehamn,NO,71.03,27.85,1557085800,272.15,92,75,2.6
315,Vangaindrano,MG,-23.35,47.6,1557087946,294.1,89,1,1.1
316,Jiayuguan,CN,39.77,98.29,1557087947,282.5,83,100,1.74
317,Powell River,CA,49.84,-124.52,1557087424,292.59,62,40,4.1
318,Pobe,BJ,6.98,2.66,1557087947,301.7,73,99,3.48
319,Bereda,ES,43.27,-7.54,1557087836,289.82,63,0,1.5
320,Cascais,PT,38.7,-9.42,1557087941,288.15,82,40,4.1
321,Pemba,MZ,-12.97,40.52,1557082800,300.15,88,40,6.7
322,Tucuman,PE,-17.17,-70.89,1557087948,292.2,40,0,3.39
323,Mareeba,AU,-16.99,145.42,1557087619,295.15,78,75,3.1
324,Adendron,GR,40.67,22.6,1557087914,291.15,88,20,1.5
325,Czluchow,PL,53.67,17.36,1557087854,279.26,52,0,0.89
326,Ugoofaaru,MV,5.67,73.0,1557087949,302.3,63,0,1.74
327,Batie,FR,45.06,5.82,1557087930,280.15,56,0,7.7
328,Port Hedland,AU,-20.31,118.58,1557084600,294.15,43,0,4.6
329,Ketrzyn,PL,54.08,21.38,1557087949,274.0,79,43,2.07
330,Paita,PE,-5.09,-81.11,1557082800,290.15,290,0,7.2
331,Jutai,BR,-1.71,-47.89,1557087950,299.3,96,100,0.94
332,Xinzhou,CN,38.41,112.73,1557087950,282.7,35,100,1.17
333,Dingle,PH,11.0,122.67,1557087951,297.6,74,34,1.79
334,Srednekolymsk,RU,67.46,153.71,1557087951,273.1,91,92,4.41
335,Sept-Iles,CA,50.2,-66.38,1557087805,281.48,48,20,6.2
336,Broken Hill,AU,-31.97,141.45,1557082800,280.15,81,0,3.32
337,Assiniboia,CA,49.63,-105.99,1557087952,279.4,38,98,3.06
338,Rocha,UY,-34.48,-54.34,1557087952,293.1,97,100,3.61
339,Oranjestad,AW,12.52,-70.03,1557082800,303.15,66,20,11.8
340,Aklavik,CA,68.22,-135.01,1557086400,272.15,50,20,5.7
341,Khani,GE,41.96,42.96,1557084600,285.15,87,0,2.6
342,Touros,BR,-5.2,-35.46,1557086400,301.15,69,40,4.6
343,Huarmey,PE,-10.07,-78.15,1557087954,292.2,95,11,7.07
344,Krasnyy Luch,RU,55.97,38.97,1557084810,286.48,87,71,2.0
345,Sukhobezvodnoye,RU,57.05,44.89,1557087954,285.5,84,0,2.66
346,Visnes,NO,59.36,5.22,1557087902,278.15,75,40,6.2
347,Tadine,NC,-21.55,167.88,1557087955,297.7,77,35,8.6
348,Esperance,TT,10.24,-61.45,1557087907,304.15,55,75,7.2
349,Poum,MK,41.28,20.71,1557082800,285.15,76,75,3.1
350,Vila Franca do Campo,PT,37.72,-25.43,1557086400,290.15,63,20,5.1
351,Ilheus,BR,-14.79,-39.05,1557082800,302.15,79,40,3.1
352,Hualmay,PE,-11.1,-77.61,1557087956,292.0,95,42,6.37
353,Kampong Thum,KH,12.71,104.89,1557087698,302.9,69,100,0.66
354,Ankara,TR,39.92,32.85,1557087668,290.15,77,75,6.2
355,Port Augusta,AU,-32.49,137.76,1557087480,280.15,93,0,2.1
356,Honiara,SB,-9.43,159.96,1557086400,298.15,100,90,3.1
357,Carnarvon,ZA,-30.97,22.13,1557087956,291.2,20,100,1.01
358,Gigmoto,PH,13.78,124.39,1557087957,301.1,76,65,2.62
359,Sibolga,ID,1.74,98.78,1557087957,300.2,78,100,1.81
360,Kagadi,UG,0.95,30.8,1557087958,293.9,77,100,2.2
361,Kieta,PG,-6.22,155.63,1557087958,300.5,77,99,1.89
362,Strezhevoy,RU,60.73,77.6,1557084600,280.15,65,0,3.0
363,Fare,PF,-16.7,-151.02,1557087959,300.8,76,63,6.68
364,Huntington,US,40.87,-73.43,1557087920,285.93,93,90,6.2
365,Jhabua,IN,22.77,74.59,1557087959,302.9,42,0,6.28
366,Imbituba,BR,-28.24,-48.67,1557082800,301.15,65,0,5.1
367,Ciudad Bolivar,VE,8.12,-63.55,1557087959,308.4,37,100,4.04
368,Angoche,MZ,-16.23,39.91,1557087959,297.4,88,0,1.89
369,Dalbandin,PK,28.9,64.41,1557087960,301.6,8,0,2.27
370,Olga,US,34.11,-118.17,1557087875,296.48,59,1,6.2
371,Fernley,US,39.61,-119.25,1557087928,298.71,15,1,5.1
372,Mounana,GA,-1.38,13.16,1557087960,296.2,96,100,1.66
373,Matadi,CD,-5.83,13.46,1557087961,298.0,93,100,1.93
374,Mangrol,IN,25.33,76.51,1557087961,306.2,7,0,2.25
